,N,Должность,Язык.программирования,Специализация,Общий.опыт.работы,Опыт.работы.на.текущем.месте,Зарплата.в.месяц,Изменение.зарплаты.за.12.месяцев,Город,Размер.компании,Тип.компании,Пол,Возраст,Образование,Университет,Еще.студент,Уровень.английского,Предметная.область,Дата.заполнения,User.Agent,exp,current_job_exp,salary,Валюта,cls,avg
12,13,Software Engineer,Python,,1,меньше 3 месяцев,800,200,Киев,до 50 человек,Аутсорсинговая,мужской,26,Высшее,НТУУ «КПИ»,False,ниже среднего,"Веб-разработка,Другое",12/06/2017 13:05:54,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.0,800,,DEV,1799.07
68,69,Software Engineer,Python,,1.5,0.5,900,900,Киев,до 10 человек,Стартап,мужской,21,Незаконченное высшее,КНУ им. Шевченко,True,выше среднего,Веб-разработка,12/06/2017 13:11:17,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",1.5,0.5,900,,DEV,1799.07
87,88,Junior Software Engineer,Python,,0.5,0.5,600,0,Киев,до 10 человек,Аутсорсинговая,мужской,19,Незаконченное высшее,НТУУ «КПИ»,True,выше среднего,"Веб-разработка,eCommerce",12/06/2017 13:12:25,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",0.5,0.5,600,,DEV,560.8412698412699
114,115,Junior Software Engineer,Python,,1.5,0.5,685,250,Киев,до 1000 человек,Аутсорсинговая,мужской,21,Незаконченное высшее,НТУУ «КПИ»,False,средний,Другое,12/06/2017 13:14:52,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",1.5,0.5,685,,DEV,560.8412698412699
143,144,Junior Software Engineer,Python,,1,1,750,250,Киев,до 10 человек,Аутсорсинговая,мужской,21,Незаконченное высшее,НТУУ «КПИ»,True,выше среднего,Веб-разработка,12/06/2017 13:19:10,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,1.0,750,,DEV,560.8412698412699
153,154,Software Engineer,Python,,2,1,1200,0,Днепр,до 50 человек,Аутстаффинговая,мужской,34,Кандидат,Другой вуз,False,продвинутый,"Веб-разработка,Мультимедиа",12/06/2017 13:20:15,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",2.0,1.0,1200,,DEV,1799.07
162,163,Junior Software Engineer,Python,,0.5,0.5,500,0,Винница,до 200 человек,Аутсорсинговая,мужской,20,Техникум / Колледж,,True,ниже среднего,Веб-разработка,12/06/2017 13:21:08,"Mozilla/5.0 (Linux; Android 7.1.2; LG-D802 Build/N2G47E) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",0.5,0.5,500,,DEV,560.8412698412699
171,172,Junior Software Engineer,Python,,0.25,0.25,800,0,Киев,до 50 человек,Продуктовая,мужской,25,Высшее,НАУ,False,продвинутый,Телекоммуникации,12/06/2017 13:22:31,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.25,0.25,800,,DEV,560.8412698412699
217,218,Software Engineer,Python,,8,2,2900,150,Львов,до 1000 человек,Аутсорсинговая,мужской,26,Высшее,ГУТ,False,выше среднего,"Веб-разработка,Корпоративные системы",12/06/2017 13:31:50,"Mozilla/5.0 (Windows NT 6.2; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",8.0,2.0,2900,,DEV,1799.07
283,284,Junior Software Engineer,Python,,1,меньше 3 месяцев,400,400,Харьков,до 10 человек,Стартап,мужской,23,Незаконченное высшее,ХНУРЭ,False,средний,Веб-разработка,12/06/2017 13:43:33,"Mozilla/5.0 (Windows NT 10.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.0,400,,DEV,560.8412698412699
302,303,Senior Software Engineer,Python,,10 и более лет,0.5,3500,-300,Киев,до 200 человек,Продуктовая,мужской,30,Высшее,НТУУ «КПИ»,False,выше среднего,"Веб-разработка,Gamedev",12/06/2017 13:46:24,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",10.0,0.5,3500,,DEV,3387.0967741935483
332,333,Junior Software Engineer,Python,,1,1,600,300,Львов,до 50 человек,Аутсорсинговая,мужской,19,Незаконченное высшее,Львовская Политехника,True,ниже среднего,Веб-разработка,12/06/2017 13:51:25,Mozilla/5.0 (X11; Fedora; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,1.0,1.0,600,,DEV,560.8412698412699
347,348,Junior Software Engineer,Python,,меньше 3 месяцев,меньше 3 месяцев,200,0,Киев,до 10 человек,Аутсорсинговая,мужской,22,Незаконченное высшее,КНУСА,True,ниже среднего,Веб-разработка,12/06/2017 13:53:40,"Mozilla/5.0 (Linux; Android 5.1.1; Mi-4c Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",0.0,0.0,200,,DEV,560.8412698412699
373,374,Senior Software Engineer,Python,,7,0.5,3100,1000,Днепр,до 200 человек,Аутсорсинговая,мужской,30,Высшее,ДНУ им. Гончара,False,выше среднего,"Веб-разработка,Корпоративные системы",12/06/2017 13:58:16,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",7.0,0.5,3100,,DEV,3387.0967741935483
387,388,Software Engineer,Python,,4,1.5,1200,0,Другой,до 10 человек,Стартап,мужской,26,Высшее,Другой вуз,False,ниже среднего,"Веб-разработка,eCommerce",12/06/2017 14:01:02,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.114 Safari/537.36 Vivaldi/1.9.818.50",4.0,1.5,1200,,DEV,1799.07
449,450,Software Engineer,Python,,5,3,2000,0,Киев,свыше 1000 человек,Аутсорсинговая,мужской,37,Незаконченное высшее,НТУУ «КПИ»,False,выше среднего,Веб-разработка,12/06/2017 14:12:37,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",5.0,3.0,2000,,DEV,1799.07
534,535,Junior Software Engineer,Python,,0.5,0.5,400,100,Львов,до 50 человек,Аутсорсинговая,мужской,24,Незаконченное высшее,Другой вуз,False,ниже среднего,Веб-разработка,12/06/2017 14:32:52,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:53.0) Gecko/20100101 Firefox/53.0,0.5,0.5,400,,DEV,560.8412698412699
565,566,Software Engineer,Python,,2,2,1000,200,Хмельницкий,до 10 человек,Стартап,мужской,21,Высшее,ХНУ [г. Хмельницкий],True,выше среднего,Веб-разработка,12/06/2017 14:38:30,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",2.0,2.0,1000,,DEV,1799.07
572,573,Software Engineer,Python,,5,1,1750,0,Удаленно,до 10 человек,Стартап,мужской,25,Высшее,КНУСА,False,выше среднего,Корпоративные системы,12/06/2017 14:40:07,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",5.0,1.0,1750,,DEV,1799.07
604,605,Software Engineer,Python,,7,0.25,3325,325,Киев,до 1000 человек,Аутстаффинговая,мужской,28,Высшее,НТУУ «КПИ»,False,средний,Веб-разработка,12/06/2017 14:47:23,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",7.0,0.25,3325,,DEV,1799.07
669,670,Software Engineer,Python,,3,3,2000,0,Львов,до 50 человек,Аутсорсинговая,мужской,25,Высшее,Другой вуз,False,выше среднего,"Веб-разработка,eCommerce",12/06/2017 14:58:02,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",3.0,3.0,2000,,DEV,1799.07
679,680,Software Engineer,Python,,3,1,2500,1000,Киев,свыше 1000 человек,Аутсорсинговая,мужской,26,Высшее,НТУУ «КПИ»,False,средний,"Веб-разработка,Системное программирование",12/06/2017 14:59:49,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",3.0,1.0,2500,,DEV,1799.07
688,689,Junior Software Engineer,Python,,1.5,0.5,1200,500,Удаленно,до 10 человек,Продуктовая,мужской,25,Незаконченное высшее,Другой вуз,False,продвинутый,Другое,12/06/2017 15:01:31,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,1.5,0.5,1200,,DEV,560.8412698412699
696,697,Software Engineer,Python,,3,1,2000,500,Львов,до 200 человек,Аутсорсинговая,мужской,32,Высшее,Другой вуз,False,выше среднего,"Веб-разработка,Другое",12/06/2017 15:03:31,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36",3.0,1.0,2000,,DEV,1799.07
715,716,Junior Software Engineer,Python,,1.5,1.5,900,300,Киев,свыше 1000 человек,Аутсорсинговая,мужской,28,Высшее,Другой вуз,False,выше среднего,"Веб-разработка,Системное программирование",12/06/2017 15:09:08,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,1.5,900,,DEV,560.8412698412699
728,729,Software Engineer,Python,,2,1,1425,800,Киев,свыше 1000 человек,Аутстаффинговая,мужской,20,Незаконченное высшее,НТУУ «КПИ»,True,продвинутый,"Веб-разработка,eCommerce",12/06/2017 15:14:45,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/54.0.2840.71 Safari/537.36",2.0,1.0,1425,,DEV,1799.07
833,834,Junior Software Engineer,Python,,1.5,0.5,800,200,Киев,до 10 человек,Продуктовая,мужской,24,Высшее,КНЭУ,False,ниже среднего,"Веб-разработка,Другое",12/06/2017 15:37:49,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,0.5,800,,DEV,560.8412698412699
855,856,Software Engineer,Python,,2,0.5,1425,125,Одесса,до 200 человек,Аутстаффинговая,мужской,27,Среднее,,False,средний,"Веб-разработка,Другое",12/06/2017 15:44:39,Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:50.0) Gecko/20100101 Firefox/50.0,2.0,0.5,1425,,DEV,1799.07
870,871,Software Engineer,Python,,1.5,меньше 3 месяцев,1200,500,Киев,до 200 человек,Аутсорсинговая,мужской,31,Высшее,НТУУ «КПИ»,False,средний,"Веб-разработка,Финансы и банки",12/06/2017 15:49:52,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,0.0,1200,,DEV,1799.07
953,954,Software Engineer,Python,,0.5,0.5,850,0,Киев,до 10 человек,Продуктовая,мужской,25,Высшее,Другой вуз,False,средний,Другое,12/06/2017 16:17:50,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.86 Safari/537.36",0.5,0.5,850,,DEV,1799.07
1003,1004,Junior Software Engineer,Python,,1,0.25,800,300,Удаленно,до 50 человек,Стартап,мужской,34,Высшее,Другой вуз,False,элементарный,"Веб-разработка,Финансы и банки",12/06/2017 16:33:42,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.81 Safari/537.36 OPR/45.0.2552.635",1.0,0.25,800,,DEV,560.8412698412699
1021,1022,Software Engineer,Python,,2,2,1400,200,Киев,до 1000 человек,Продуктовая,мужской,23,Высшее,НТУУ «КПИ»,False,средний,Другое,12/06/2017 16:39:26,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Mobile/14F89 [FBAN/FBIOS;FBAV/96.0.0.45.70;FBBV/60548545;FBDV/iPhone9,2;FBMD/iPhone;FBSN/iOS;FBSV/10.3.2;FBSS/3;FBCR/Carrier;FBID/phone;FBLC/ru_RU;FBOP/5;FBRV/0]",2.0,2.0,1400,,DEV,1799.07
1080,1081,Software Engineer,Python,,5,1,2800,500,Житомир,до 50 человек,Стартап,мужской,29,Высшее,Другой вуз,False,выше среднего,Системное программирование,12/06/2017 17:03:05,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_2 like Mac OS X) AppleWebKit/603.2.4 (KHTML, like Gecko) Version/10.0 Mobile/14F89 Safari/602.1",5.0,1.0,2800,,DEV,1799.07
1108,1109,Junior Software Engineer,Python,,1,меньше 3 месяцев,300,0,Киев,до 10 человек,Аутстаффинговая,мужской,19,Незаконченное высшее,КНУ им. Шевченко,False,средний,Веб-разработка,12/06/2017 17:14:59,"Mozilla/5.0 (Linux; Android 6.0.1; Redmi 4 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1.0,0.0,300,,DEV,560.8412698412699
1138,1139,Software Engineer,Python,,4,0.5,2600,1000,Львов,до 1000 человек,Аутстаффинговая,мужской,27,Высшее,Львовская Политехника,False,средний,"Веб-разработка,Корпоративные системы",12/06/2017 17:24:34,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,0.5,2600,,DEV,1799.07
1172,1173,Senior Software Engineer,Python,,2,2,1300,800,Львов,до 50 человек,Другая,мужской,20,Незаконченное высшее,ЛНУ им. Франко,True,средний,"Веб-разработка,Другое",12/06/2017 17:38:00,"Mozilla/5.0 (Linux; Android 6.0.1; Redmi 3S Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/58.0.3029.83 Mobile Safari/537.36",2.0,2.0,1300,,DEV,3387.0967741935483
1187,1188,Junior Software Engineer,Python,,1.5,1.5,952,550,Львов,свыше 1000 человек,Аутсорсинговая,мужской,26,Высшее,Львовская Политехника,False,средний,"Веб-разработка,Корпоративные системы",12/06/2017 17:43:03,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.5,1.5,952,,DEV,560.8412698412699
1194,1195,Junior Software Engineer,Python,,1,0.25,300,0,Львов,до 50 человек,Стартап,мужской,21,Высшее,Львовская Политехника,True,средний,"Финансы и банки,Другое",12/06/2017 17:45:49,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.25,300,,DEV,560.8412698412699
1363,1364,Senior Software Engineer,Python,,10 и более лет,2,1500,1000,Удаленно,до 10 человек,Стартап,мужской,35,Высшее,ДонНУ,False,элементарный,"Системное программирование,Корпоративные системы",12/06/2017 19:10:01,Mozilla/5.0 (Windows NT 10.0; WOW64; rv:53.0) Gecko/20100101 Firefox/53.0,10.0,2.0,1500,,DEV,3387.0967741935483
1392,1393,Software Engineer,Python,,1.5,1.5,1400,1000,Львов,до 50 человек,Аутсорсинговая,мужской,26,Высшее,ЛНУ им. Франко,False,средний,"Веб-разработка,eCommerce",12/06/2017 19:31:39,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/56.0.2924.87 Safari/537.36",1.5,1.5,1400,,DEV,1799.07
1489,1490,Senior Software Engineer,Python,,4,1,3300,430,Львов,до 1000 человек,Аутсорсинговая,мужской,27,Высшее,Другой вуз,False,выше среднего,"Веб-разработка,Корпоративные системы",12/06/2017 20:48:17,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",4.0,1.0,3300,,DEV,3387.0967741935483
1578,1579,Software Engineer,Python,,1,меньше 3 месяцев,2100,1200,Киев,до 200 человек,Аутсорсинговая,мужской,30,Высшее,Другой вуз,False,средний,Веб-разработка,12/06/2017 21:34:57,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",1.0,0.0,2100,,DEV,1799.07
1586,1587,Software Engineer,Python,,1,меньше 3 месяцев,700,500,Киев,до 10 человек,Продуктовая,мужской,19,Незаконченное высшее,НТУУ «КПИ»,True,выше среднего,Веб-разработка,12/06/2017 21:40:02,"Mozilla/5.0 (Linux; Android 6.0; MEIZU_M5 Build/MRA58K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36",1.0,0.0,700,,DEV,1799.07
1603,1604,Junior Software Engineer,Python,,0.5,0.5,300,100,Ивано-Франковск,до 10 человек,Аутсорсинговая,мужской,23,Незаконченное высшее,Другой вуз,True,ниже среднего,"Веб-разработка,Другое",12/06/2017 21:51:44,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,300,,DEV,560.8412698412699
1614,1615,Junior Software Engineer,Python,,0.5,0.5,440,0,Львов,свыше 1000 человек,Аутсорсинговая,мужской,28,Кандидат,Другой вуз,False,средний,"Веб-разработка,Корпоративные системы",12/06/2017 21:59:19,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/58.0.3029.110 Chrome/58.0.3029.110 Safari/537.36",0.5,0.5,440,,DEV,560.8412698412699
1652,1653,Junior Software Engineer,Python,,0.5,0.25,500,200,Львов,до 10 человек,Аутсорсинговая,мужской,21,Незаконченное высшее,Другой вуз,True,средний,Веб-разработка,12/06/2017 22:18:34,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36",0.5,0.25,500,,DEV,560.8412698412699
1681,1682,Junior Software Engineer,Python,,0.5,0.5,800,200,Запорожье,до 50 человек,Аутсорсинговая,мужской,31,Высшее,Другой вуз,False,средний,Веб-разработка,12/06/2017 22:33:08,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/56.0.2924.76 Chrome/56.0.2924.76 Safari/537.36",0.5,0.5,800,,DEV,560.8412698412699
1695,1696,Junior Software Engineer,Python,,0.5,0.5,600,600,Киев,до 200 человек,Продуктовая,мужской,21,Незаконченное высшее,НТУУ «КПИ»,True,выше среднего,Веб-разработка,12/06/2017 22:41:19,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",0.5,0.5,600,,DEV,560.8412698412699
1733,1734,Junior Software Engineer,Python,,1,1,400,400,Харьков,до 10 человек,Аутсорсинговая,мужской,21,Высшее,ХАИ,True,ниже среднего,Веб-разработка,12/06/2017 22:59:04,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36 OPR/45.0.2552.888",1.0,1.0,400,,DEV,560.8412698412699
